1;arms_factory;2945.00;11.70;1366.00;0.06;0
1;arms_factory;2946.00;12.65;1366.00;4.18;0
1;arms_factory;2950.00;11.82;1359.00;0.56;0
1;arms_factory;2950.00;11.82;1359.00;2.12;0
1;arms_factory;2952.00;9.90;1372.00;6.24;0
1;arms_factory;2947.00;9.68;1354.00;1.17;0
1;industrial_complex;2947.00;9.68;1354.00;5.29;0
1;industrial_complex;2951.00;11.65;1366.00;0.57;0
1;industrial_complex;2951.00;11.57;1368.00;3.23;0
1;industrial_complex;2943.00;10.45;1367.00;5.89;0
1;industrial_complex;2946.00;9.80;1359.00;3.73;0
1;industrial_complex;2947.00;10.45;1360.00;3.84;0
1;air_base;2946.00;10.70;1362.00;1.68;0
1;naval_base;2954.00;9.93;1368.00;0.98;5579
1;naval_base;2941.00;9.50;1368.00;-1.19;5579
1;naval_base;2941.00;9.50;1360.00;-0.79;5579
1;bunker;2951.00;11.65;1367.00;0.12;0
1;bunker;2949.00;11.75;1359.00;4.25;0
1;bunker;2946.00;11.62;1364.00;4.35;0
1;coastal_bunker;2954.00;9.80;1369.00;0.98;0
1;coastal_bunker;2944.00;9.50;1356.00;-0.79;0
1;coastal_bunker;2941.00;9.50;1365.00;-1.19;0
1;dockyard;2954.00;9.70;1370.00;0.98;0
1;anti_air_building;2947.00;9.75;1356.00;0.63;0
1;anti_air_building;2951.00;11.57;1368.00;3.30;0
1;anti_air_building;2951.00;11.57;1368.00;5.96;0
1;synthetic_refinery;2943.00;10.68;1368.00;2.70;0
1;fuel_silo;2948.00;11.18;1360.00;3.90;0
1;radar_station;2948.00;13.38;1365.00;0.87;0
1;rocket_site;2948.00;12.48;1363.00;4.41;0
1;nuclear_reactor;2948.00;12.48;1363.00;5.97;0
2;arms_factory;2995.00;10.07;1366.00;0.56;0
2;arms_factory;3001.00;9.70;1357.00;2.12;0
2;arms_factory;3002.00;9.93;1363.00;6.24;0
2;arms_factory;2997.00;10.80;1372.00;1.17;0
2;arms_factory;3015.00;12.80;1363.00;5.29;0
2;arms_factory;2992.00;10.23;1370.00;0.57;0
2;industrial_complex;2999.00;10.38;1371.00;3.23;0
2;industrial_complex;3008.00;11.05;1363.00;5.89;0
2;industrial_complex;3009.00;9.57;1350.00;3.73;0
2;industrial_complex;3012.00;11.12;1357.00;3.84;0
2;industrial_complex;3021.00;10.98;1354.00;1.68;0
2;industrial_complex;3013.00;10.80;1354.00;5.80;0
2;air_base;3001.00;9.70;1357.00;0.72;0
2;naval_base;2986.00;9.50;1368.00;-0.90;5579
2;naval_base;3013.00;9.50;1348.00;0.32;1452
2;naval_base;3004.00;9.50;1352.00;-0.46;5656
2;naval_base;2998.00;9.50;1357.00;-0.93;5656
2;naval_base;3020.00;9.50;1347.00;0.17;1452
2;bunker;3008.00;11.05;1363.00;4.85;0
2;bunker;2993.00;9.60;1363.00;1.23;0
2;bunker;2993.00;11.35;1373.00;2.79;0
2;bunker;3016.00;10.85;1354.00;0.63;0
2;bunker;3006.00;9.55;1352.00;3.30;0
2;bunker;3005.00;10.93;1370.00;5.96;0
2;bunker;3012.00;12.00;1365.00;2.70;0
2;coastal_bunker;2989.00;9.50;1364.00;-0.90;0
2;coastal_bunker;2993.00;9.50;1361.00;-0.93;0
2;coastal_bunker;3014.00;9.50;1348.00;0.32;0
2;coastal_bunker;3020.00;9.50;1347.00;0.17;0
2;coastal_bunker;2999.00;9.50;1355.00;-0.46;0
2;dockyard;3015.00;9.50;1348.00;0.32;0
2;anti_air_building;3021.00;9.93;1350.00;1.39;0
2;anti_air_building;2993.00;11.35;1373.00;4.42;0
2;anti_air_building;3004.00;10.98;1373.00;2.26;0
2;synthetic_refinery;2999.00;9.70;1360.00;4.92;0
2;fuel_silo;3010.00;9.75;1352.00;0.19;0
2;radar_station;3006.00;10.45;1362.00;3.69;0
2;rocket_site;2992.00;9.70;1366.00;0.70;0
2;nuclear_reactor;3015.00;11.50;1357.00;1.91;0
3;arms_factory;2911.00;10.25;1453.00;6.24;0
3;arms_factory;2916.00;10.25;1459.00;1.17;0
3;arms_factory;2927.00;14.07;1453.00;5.29;0
3;arms_factory;2930.00;16.05;1443.00;0.57;0
3;arms_factory;2926.00;14.35;1446.00;3.23;0
3;arms_factory;2922.00;13.93;1449.00;5.89;0
3;industrial_complex;2926.00;16.20;1441.00;3.73;0
3;industrial_complex;2924.00;11.20;1465.00;3.84;0
3;industrial_complex;2916.00;10.12;1458.00;1.68;0
3;industrial_complex;2916.00;10.95;1453.00;5.80;0
3;industrial_complex;2922.00;15.78;1439.00;0.72;0
3;industrial_complex;2922.00;12.85;1456.00;3.74;0
3;air_base;2911.00;10.32;1449.00;0.12;0
3;bunker;2926.00;14.73;1451.00;4.25;0
3;bunker;2916.00;11.30;1442.00;4.35;0
